#X,#CH2
#Second,#Volt
9.48E-05,5.04E-01
9.68E-05,5.04E-01
9.88E-05,5.04E-01
1.01E-04,5.04E-01
1.03E-04,5.04E-01
1.05E-04,5.04E-01
1.07E-04,4.96E-01
1.09E-04,4.96E-01
1.11E-04,4.96E-01
1.13E-04,4.96E-01
1.15E-04,4.88E-01
1.17E-04,4.88E-01
1.19E-04,4.88E-01
1.21E-04,4.80E-01
1.23E-04,4.72E-01
1.25E-04,4.72E-01
1.27E-04,4.64E-01
1.29E-04,4.64E-01
1.31E-04,4.56E-01
1.33E-04,4.48E-01
1.35E-04,4.40E-01
1.37E-04,4.40E-01
1.39E-04,4.32E-01
1.41E-04,4.24E-01
1.43E-04,4.16E-01
1.45E-04,4.08E-01
1.47E-04,4.00E-01
1.49E-04,4.00E-01
1.51E-04,3.92E-01
1.53E-04,3.84E-01
1.55E-04,3.68E-01
1.57E-04,3.60E-01
1.59E-04,3.52E-01
1.61E-04,3.44E-01
1.63E-04,3.36E-01
1.65E-04,3.28E-01
1.67E-04,3.12E-01
1.69E-04,3.04E-01
1.71E-04,2.96E-01
1.73E-04,2.88E-01
1.75E-04,2.72E-01
1.77E-04,2.64E-01
1.79E-04,2.56E-01
1.81E-04,2.48E-01
1.83E-04,2.32E-01
1.85E-04,2.24E-01
1.87E-04,2.08E-01
1.89E-04,2.00E-01
1.91E-04,1.84E-01
1.93E-04,1.76E-01
1.95E-04,1.60E-01
1.97E-04,1.52E-01
1.99E-04,1.36E-01
2.01E-04,1.28E-01
2.03E-04,1.12E-01
2.05E-04,1.04E-01
2.07E-04,8.79E-02
2.09E-04,7.99E-02
2.11E-04,6.40E-02
2.13E-04,5.60E-02
2.15E-04,4.00E-02
2.17E-04,3.20E-02
2.19E-04,1.60E-02
2.21E-04,0.00E+00
2.23E-04,-1.60E-02
2.25E-04,-2.40E-02
2.27E-04,-4.00E-02
2.29E-04,-4.80E-02
2.31E-04,-6.40E-02
2.33E-04,-7.20E-02
2.35E-04,-8.79E-02
2.37E-04,-9.60E-02
2.39E-04,-1.12E-01
2.41E-04,-1.20E-01
2.43E-04,-1.36E-01
2.45E-04,-1.44E-01
2.47E-04,-1.60E-01
2.49E-04,-1.68E-01
2.51E-04,-1.84E-01
2.53E-04,-1.92E-01
2.55E-04,-2.08E-01
2.57E-04,-2.16E-01
2.59E-04,-2.32E-01
2.61E-04,-2.40E-01
2.63E-04,-2.56E-01
2.65E-04,-2.64E-01
2.67E-04,-2.80E-01
2.69E-04,-2.88E-01
2.71E-04,-2.96E-01
2.73E-04,-3.04E-01
2.75E-04,-3.20E-01
2.77E-04,-3.28E-01
2.79E-04,-3.36E-01
2.81E-04,-3.44E-01
2.83E-04,-3.52E-01
2.85E-04,-3.60E-01
2.87E-04,-3.76E-01
2.89E-04,-3.76E-01
2.91E-04,-3.84E-01
2.93E-04,-3.92E-01
2.95E-04,-4.08E-01
2.97E-04,-4.16E-01
2.99E-04,-4.24E-01
3.01E-04,-4.24E-01
3.03E-04,-4.32E-01
3.05E-04,-4.40E-01
3.07E-04,-4.48E-01
3.09E-04,-4.48E-01
3.11E-04,-4.56E-01
3.13E-04,-4.56E-01
3.15E-04,-4.64E-01
3.17E-04,-4.64E-01
3.19E-04,-4.72E-01
3.21E-04,-4.72E-01
3.23E-04,-4.80E-01
3.25E-04,-4.80E-01
3.27E-04,-4.88E-01
3.29E-04,-4.88E-01
3.31E-04,-4.96E-01
3.33E-04,-4.96E-01
3.35E-04,-4.96E-01
3.37E-04,-4.96E-01
3.39E-04,-5.04E-01
3.41E-04,-5.04E-01
3.43E-04,-5.04E-01
3.45E-04,-5.04E-01
3.47E-04,-5.04E-01
3.49E-04,-4.96E-01
3.51E-04,-4.96E-01
3.53E-04,-4.96E-01
3.55E-04,-4.96E-01
3.57E-04,-4.96E-01
3.59E-04,-4.96E-01
3.61E-04,-4.88E-01
3.63E-04,-4.88E-01
3.65E-04,-4.88E-01
3.67E-04,-4.88E-01
3.69E-04,-4.80E-01
3.71E-04,-4.80E-01
3.73E-04,-4.72E-01
3.75E-04,-4.72E-01
3.77E-04,-4.64E-01
3.79E-04,-4.64E-01
3.81E-04,-4.56E-01
3.83E-04,-4.48E-01
3.85E-04,-4.40E-01
3.87E-04,-4.32E-01
3.89E-04,-4.24E-01
3.91E-04,-4.24E-01
3.93E-04,-4.16E-01
3.95E-04,-4.08E-01
3.97E-04,-4.00E-01
3.99E-04,-3.92E-01
4.01E-04,-3.84E-01
4.03E-04,-3.76E-01
4.05E-04,-3.68E-01
4.07E-04,-3.60E-01
4.09E-04,-3.52E-01
4.11E-04,-3.44E-01
4.13E-04,-3.28E-01
4.15E-04,-3.20E-01
4.17E-04,-3.12E-01
4.19E-04,-3.04E-01
4.21E-04,-2.88E-01
4.23E-04,-2.80E-01
4.25E-04,-2.64E-01
4.27E-04,-2.56E-01
4.29E-04,-2.48E-01
4.31E-04,-2.40E-01
4.33E-04,-2.24E-01
4.35E-04,-2.16E-01
4.37E-04,-2.00E-01
4.39E-04,-1.92E-01
4.41E-04,-1.76E-01
4.43E-04,-1.68E-01
4.45E-04,-1.52E-01
4.47E-04,-1.44E-01
4.49E-04,-1.28E-01
4.51E-04,-1.20E-01
4.53E-04,-1.04E-01
4.55E-04,-9.60E-02
4.57E-04,-7.99E-02
4.59E-04,-7.20E-02
4.61E-04,-5.60E-02
4.63E-04,-4.80E-02
4.65E-04,-3.20E-02
4.67E-04,-2.40E-02
4.69E-04,-8.00E-03
4.71E-04,8.00E-03
4.73E-04,2.40E-02
4.75E-04,3.20E-02
4.77E-04,4.80E-02
4.79E-04,5.60E-02
4.81E-04,7.20E-02
4.83E-04,7.99E-02
4.85E-04,9.60E-02
4.87E-04,1.04E-01
4.89E-04,1.20E-01
4.91E-04,1.28E-01
4.93E-04,1.44E-01
4.95E-04,1.52E-01
4.97E-04,1.68E-01
4.99E-04,1.76E-01
5.01E-04,1.92E-01
5.03E-04,2.00E-01
5.05E-04,2.16E-01
5.07E-04,2.24E-01
5.09E-04,2.40E-01
