Name: Ryan
measurement station: King Louie
Sample: PST 441 G2
date: Friday, July 05, 2019
time: 10:34 AM
Comment: 
PST441 G2
6-Terminal Small Hall Bar
July 3rd, 2019

Pushing current from 9 to B
Measuring Vxx from E to 3 using Agilent, GPIB 23
Measuring Vxy from E to 11 using Keysight 1, GPIB 22

Pushing a voltage of 100.0 mV at frequency 37.37Hz
Through divider of 1224:12
Reference resistance of 996.51 Kilohms
Ref. resistance voltage measured using Keysight 2, GPIB 24

Ref. resistance:Rxx:Rxy sensitivities are 1:1:0.02
Sweeping magnetic field from -14 to 14T at 0.1 T/min
Start Value B: -14.000000
End Value B: 14.000000
---------						
B field / T	Temperature (Ohm)	I-Keysight 01	Uxx-Keysight 02	Uxy- Ag1 Ch1	Rxx	Rxy
						
-1.39992E+1	2.16120E+4	9.65726E-2	6.06740E+0	1.43702E+0	6.26081E+4	1.48283E+4
-1.39936E+1	2.16150E+4	9.62598E-2	6.06711E+0	1.43685E+0	6.28085E+4	1.48747E+4
-1.39864E+1	2.16140E+4	9.65692E-2	6.06755E+0	1.43700E+0	6.26118E+4	1.48286E+4
-1.39788E+1	2.16130E+4	9.86445E-2	6.06756E+0	1.43692E+0	6.12947E+4	1.45158E+4
-1.39709E+1	2.16140E+4	9.73256E-2	6.06772E+0	1.43692E+0	6.21269E+4	1.47125E+4
-1.39624E+1	2.16140E+4	9.62760E-2	6.06760E+0	1.43684E+0	6.28030E+4	1.48721E+4
-1.39543E+1	2.16160E+4	9.50944E-2	6.06797E+0	1.43675E+0	6.35872E+4	1.50559E+4
-1.39461E+1	2.16150E+4	9.57341E-2	6.06802E+0	1.43691E+0	6.31628E+4	1.49570E+4
-1.39375E+1	2.16180E+4	9.65812E-2	6.06818E+0	1.43677E+0	6.26105E+4	1.48244E+4
-1.39293E+1	2.16120E+4	9.59036E-2	6.06844E+0	1.43683E+0	6.30556E+4	1.49298E+4
-1.39211E+1	2.16160E+4	9.47970E-2	6.06817E+0	1.43672E+0	6.37888E+4	1.51029E+4
-1.39123E+1	2.16140E+4	9.62819E-2	6.06823E+0	1.43655E+0	6.28057E+4	1.48682E+4
-1.39041E+1	2.16120E+4	9.68385E-2	6.06848E+0	1.43657E+0	6.24473E+4	1.47829E+4
-1.38959E+1	2.16140E+4	9.57985E-2	6.06850E+0	1.43660E+0	6.31254E+4	1.49437E+4
-1.38872E+1	2.16110E+4	9.53493E-2	6.06870E+0	1.43669E+0	6.34249E+4	1.50150E+4
-1.38789E+1	2.16140E+4	9.54350E-2	6.06880E+0	1.43649E+0	6.33690E+4	1.49995E+4
-1.38705E+1	2.16160E+4	9.63665E-2	6.06876E+0	1.43648E+0	6.27560E+4	1.48544E+4
-1.38619E+1	2.16110E+4	9.49834E-2	6.06895E+0	1.43642E+0	6.36719E+4	1.50701E+4
-1.38536E+1	2.16160E+4	9.56171E-2	6.06877E+0	1.43627E+0	6.32479E+4	1.49687E+4
-1.38453E+1	2.16160E+4	9.58627E-2	6.06896E+0	1.43627E+0	6.30879E+4	1.49303E+4
-1.38370E+1	2.16140E+4	9.52113E-2	6.06906E+0	1.43629E+0	6.35206E+4	1.50326E+4
-1.38282E+1	2.16120E+4	9.43351E-2	6.06937E+0	1.43619E+0	6.41138E+4	1.51712E+4
-1.38199E+1	2.16120E+4	9.28895E-2	6.06954E+0	1.43629E+0	6.51134E+4	1.54084E+4
-1.38117E+1	2.16150E+4	9.47539E-2	6.06949E+0	1.43615E+0	6.38317E+4	1.51038E+4
-1.38029E+1	2.16110E+4	9.53562E-2	6.06953E+0	1.43619E+0	6.34289E+4	1.50088E+4
-1.37946E+1	2.16140E+4	9.43300E-2	6.06967E+0	1.43607E+0	6.41205E+4	1.51708E+4
-1.37863E+1	2.16110E+4	9.59435E-2	6.06974E+0	1.43603E+0	6.30429E+4	1.49152E+4
-1.37776E+1	2.16150E+4	9.43169E-2	6.06976E+0	1.43597E+0	6.41304E+4	1.51718E+4
-1.37694E+1	2.16110E+4	9.32087E-2	6.07023E+0	1.43604E+0	6.48978E+4	1.53529E+4
-1.37609E+1	2.16150E+4	9.51610E-2	6.06987E+0	1.43589E+0	6.35626E+4	1.50364E+4
-1.37523E+1	2.16130E+4	9.41159E-2	6.07002E+0	1.43582E+0	6.42701E+4	1.52026E+4
-1.37440E+1	2.16120E+4	9.58222E-2	6.07007E+0	1.43581E+0	6.31261E+4	1.49318E+4
-1.37356E+1	2.16150E+4	9.41607E-2	6.07003E+0	1.43567E+0	6.42396E+4	1.51938E+4
-1.37273E+1	2.16150E+4	9.41161E-2	6.07052E+0	1.43582E+0	6.42752E+4	1.52026E+4
-1.37186E+1	2.16120E+4	9.33245E-2	6.07043E+0	1.43579E+0	6.48195E+4	1.53313E+4
-1.37104E+1	2.16160E+4	9.37980E-2	6.07043E+0	1.43559E+0	6.44922E+4	1.52518E+4
-1.37021E+1	2.16140E+4	9.32627E-2	6.07074E+0	1.43558E+0	6.48657E+4	1.53392E+4
-1.36934E+1	2.16140E+4	9.26079E-2	6.07043E+0	1.43560E+0	6.53210E+4	1.54478E+4
-1.36851E+1	2.16120E+4	9.36949E-2	6.07071E+0	1.43561E+0	6.45661E+4	1.52687E+4
-1.36768E+1	2.16150E+4	9.42354E-2	6.07052E+0	1.43539E+0	6.41939E+4	1.51789E+4
-1.36685E+1	2.16110E+4	9.36498E-2	6.07071E+0	1.43537E+0	6.45974E+4	1.52735E+4
-1.36596E+1	2.16140E+4	9.22663E-2	6.07093E+0	1.43528E+0	6.55683E+4	1.55015E+4
-1.36513E+1	2.16100E+4	9.32771E-2	6.07107E+0	1.43529E+0	6.48592E+4	1.53337E+4
-1.36430E+1	2.16110E+4	9.29907E-2	6.07098E+0	1.43521E+0	6.50580E+4	1.53801E+4
-1.36347E+1	2.16130E+4	9.35540E-2	6.07132E+0	1.43527E+0	6.46699E+4	1.52881E+4
-1.36260E+1	2.16100E+4	9.32736E-2	6.07136E+0	1.43521E+0	6.48648E+4	1.53334E+4
-1.36176E+1	2.16090E+4	9.40580E-2	6.07155E+0	1.43512E+0	6.43258E+4	1.52046E+4
-1.36093E+1	2.16120E+4	9.20598E-2	6.07198E+0	1.43516E+0	6.57267E+4	1.55350E+4
-1.36006E+1	2.16110E+4	9.30177E-2	6.07158E+0	1.43510E+0	6.50456E+4	1.53744E+4
-1.35924E+1	2.16140E+4	9.36441E-2	6.07167E+0	1.43503E+0	6.46115E+4	1.52708E+4
-1.35839E+1	2.16090E+4	9.40739E-2	6.07187E+0	1.43507E+0	6.43184E+4	1.52015E+4
-1.35752E+1	2.16090E+4	9.35703E-2	6.07150E+0	1.43485E+0	6.46606E+4	1.52809E+4
-1.35669E+1	2.16130E+4	9.19221E-2	6.07186E+0	1.43493E+0	6.58239E+4	1.55558E+4
-1.35585E+1	2.16110E+4	9.21553E-2	6.07204E+0	1.43496E+0	6.56593E+4	1.55168E+4
-1.35499E+1	2.16100E+4	9.18606E-2	6.07178E+0	1.43478E+0	6.58670E+4	1.55646E+4
-1.35416E+1	2.16090E+4	9.14977E-2	6.07194E+0	1.43469E+0	6.61301E+4	1.56253E+4
-1.35332E+1	2.16110E+4	9.17402E-2	6.07211E+0	1.43468E+0	6.59571E+4	1.55839E+4
-1.35249E+1	2.16120E+4	9.15875E-2	6.07207E+0	1.43463E+0	6.60666E+4	1.56094E+4
-1.35161E+1	2.16090E+4	9.19875E-2	6.07252E+0	1.43469E+0	6.57843E+4	1.55422E+4
-1.35079E+1	2.16070E+4	9.23512E-2	6.07228E+0	1.43454E+0	6.55226E+4	1.54793E+4
-1.34997E+1	2.16060E+4	9.28545E-2	6.07230E+0	1.43447E+0	6.51676E+4	1.53947E+4
-1.34909E+1	2.16110E+4	9.25446E-2	6.07261E+0	1.43450E+0	6.53892E+4	1.54466E+4
-1.34825E+1	2.16110E+4	9.25369E-2	6.07261E+0	1.43442E+0	6.53947E+4	1.54469E+4
-1.34738E+1	2.16070E+4	9.19605E-2	6.07261E+0	1.43433E+0	6.58045E+4	1.55428E+4
-1.34656E+1	2.16090E+4	9.00191E-2	6.07289E+0	1.43442E+0	6.72268E+4	1.58791E+4
-1.34573E+1	2.16060E+4	9.14205E-2	6.07295E+0	1.43431E+0	6.61970E+4	1.56345E+4
-1.34485E+1	2.16060E+4	9.21267E-2	6.07324E+0	1.43439E+0	6.56926E+4	1.55154E+4
-1.34402E+1	2.16090E+4	9.01105E-2	6.07289E+0	1.43408E+0	6.71586E+4	1.58591E+4
-1.34321E+1	2.16060E+4	9.24739E-2	6.07322E+0	1.43409E+0	6.54457E+4	1.54539E+4
-1.34232E+1	2.16060E+4	9.23327E-2	6.07353E+0	1.43421E+0	6.55492E+4	1.54789E+4
-1.34150E+1	2.16090E+4	9.12873E-2	6.07329E+0	1.43401E+0	6.62972E+4	1.56539E+4
-1.34067E+1	2.16090E+4	8.98826E-2	6.07368E+0	1.43406E+0	6.73376E+4	1.58992E+4
-1.33983E+1	2.16080E+4	9.09871E-2	6.07368E+0	1.43397E+0	6.65202E+4	1.57052E+4
-1.33897E+1	2.16070E+4	8.99951E-2	6.07355E+0	1.43390E+0	6.72520E+4	1.58775E+4
-1.33813E+1	2.16060E+4	9.02501E-2	6.07371E+0	1.43386E+0	6.70637E+4	1.58322E+4
-1.33730E+1	2.16080E+4	8.91765E-2	6.07404E+0	1.43402E+0	6.78748E+4	1.60246E+4
-1.33644E+1	2.16070E+4	9.07192E-2	6.07396E+0	1.43384E+0	6.67198E+4	1.57500E+4
-1.33558E+1	2.16060E+4	8.96312E-2	6.07377E+0	1.43369E+0	6.75275E+4	1.59396E+4
-1.33476E+1	2.16060E+4	9.08117E-2	6.07427E+0	1.43372E+0	6.66552E+4	1.57327E+4
-1.33389E+1	2.16040E+4	9.00141E-2	6.07404E+0	1.43359E+0	6.72433E+4	1.58707E+4
-1.33306E+1	2.16030E+4	9.11920E-2	6.07427E+0	1.43365E+0	6.63772E+4	1.56663E+4
-1.33219E+1	2.16040E+4	9.17458E-2	6.07429E+0	1.43352E+0	6.59768E+4	1.55703E+4
-1.33135E+1	2.16050E+4	9.05271E-2	6.07461E+0	1.43358E+0	6.68685E+4	1.57807E+4
-1.33050E+1	2.16020E+4	9.08158E-2	6.07460E+0	1.43352E+0	6.66558E+4	1.57298E+4
-1.32964E+1	2.16030E+4	8.80383E-2	6.07470E+0	1.43339E+0	6.87599E+4	1.62246E+4
-1.32880E+1	2.16060E+4	8.91982E-2	6.07491E+0	1.43345E+0	6.78681E+4	1.60143E+4
-1.32798E+1	2.16060E+4	8.94984E-2	6.07489E+0	1.43337E+0	6.76402E+4	1.59597E+4
-1.32710E+1	2.16040E+4	8.92713E-2	6.07478E+0	1.43326E+0	6.78110E+4	1.59991E+4
-1.32627E+1	2.16010E+4	8.94222E-2	6.07538E+0	1.43323E+0	6.77033E+4	1.59717E+4
-1.32543E+1	2.16060E+4	8.93492E-2	6.07525E+0	1.43323E+0	6.77571E+4	1.59847E+4
-1.32456E+1	2.16000E+4	9.04094E-2	6.07532E+0	1.43318E+0	6.69633E+4	1.57968E+4
-1.32373E+1	2.16020E+4	8.77914E-2	6.07526E+0	1.43314E+0	6.89596E+4	1.62674E+4
-1.32289E+1	2.16040E+4	8.90183E-2	6.07546E+0	1.43311E+0	6.80114E+4	1.60429E+4
-1.32208E+1	2.16030E+4	8.79070E-2	6.07531E+0	1.43302E+0	6.88694E+4	1.62446E+4
-1.32119E+1	2.16000E+4	8.74583E-2	6.07551E+0	1.43298E+0	6.92250E+4	1.63275E+4
-1.32035E+1	2.16010E+4	8.87744E-2	6.07552E+0	1.43284E+0	6.81988E+4	1.60839E+4
-1.31953E+1	2.16020E+4	8.85152E-2	6.07591E+0	1.43295E+0	6.84030E+4	1.61323E+4
-1.31869E+1	2.16010E+4	8.75203E-2	6.07561E+0	1.43275E+0	6.91771E+4	1.63134E+4
-1.31782E+1	2.16030E+4	8.74077E-2	6.07587E+0	1.43275E+0	6.92693E+4	1.63343E+4
-1.31698E+1	2.16000E+4	8.80714E-2	6.07569E+0	1.43278E+0	6.87452E+4	1.62116E+4
-1.31615E+1	2.16020E+4	8.89450E-2	6.07594E+0	1.43270E+0	6.80728E+4	1.60514E+4
-1.31529E+1	2.16020E+4	8.72985E-2	6.07643E+0	1.43268E+0	6.93622E+4	1.63541E+4
-1.31445E+1	2.16000E+4	8.83548E-2	6.07644E+0	1.43270E+0	6.85332E+4	1.61587E+4
-1.31362E+1	2.15990E+4	8.72870E-2	6.07650E+0	1.43261E+0	6.93722E+4	1.63553E+4
-1.31275E+1	2.16000E+4	8.66461E-2	6.07661E+0	1.43261E+0	6.98866E+4	1.64763E+4
-1.31192E+1	2.16010E+4	8.74997E-2	6.07665E+0	1.43255E+0	6.92053E+4	1.63149E+4
-1.31109E+1	2.15970E+4	8.81540E-2	6.07656E+0	1.43247E+0	6.86906E+4	1.61929E+4
-1.31023E+1	2.16000E+4	8.88635E-2	6.07704E+0	1.43243E+0	6.81476E+4	1.60632E+4
-1.30939E+1	2.15990E+4	8.82737E-2	6.07707E+0	1.43240E+0	6.86033E+4	1.61702E+4
-1.30856E+1	2.16000E+4	8.68492E-2	6.07695E+0	1.43236E+0	6.97271E+4	1.64349E+4
-1.30768E+1	2.15980E+4	8.59618E-2	6.07726E+0	1.43234E+0	7.04505E+4	1.66043E+4
-1.30685E+1	2.15960E+4	8.56628E-2	6.07721E+0	1.43219E+0	7.06958E+4	1.66605E+4
-1.30602E+1	2.15990E+4	8.78554E-2	6.07689E+0	1.43209E+0	6.89278E+4	1.62436E+4
-1.30518E+1	2.16000E+4	8.64717E-2	6.07749E+0	1.43219E+0	7.00377E+4	1.65048E+4
-1.30433E+1	2.15980E+4	8.70169E-2	6.07764E+0	1.43223E+0	6.96006E+4	1.64018E+4
-1.30344E+1	2.15960E+4	8.79924E-2	6.07753E+0	1.43204E+0	6.88278E+4	1.62178E+4
-1.30262E+1	2.15950E+4	8.74854E-2	6.07767E+0	1.43197E+0	6.92282E+4	1.63110E+4
-1.30179E+1	2.15960E+4	8.64619E-2	6.07765E+0	1.43189E+0	7.00475E+4	1.65031E+4
-1.30091E+1	2.15980E+4	8.58534E-2	6.07775E+0	1.43184E+0	7.05452E+4	1.66196E+4
-1.30008E+1	2.15960E+4	8.73290E-2	6.07784E+0	1.43182E+0	6.93542E+4	1.63384E+4
-1.29921E+1	2.15970E+4	8.58052E-2	6.07798E+0	1.43178E+0	7.05875E+4	1.66282E+4
-1.29838E+1	2.15950E+4	8.68826E-2	6.07811E+0	1.43185E+0	6.97136E+4	1.64228E+4
-1.29755E+1	2.15960E+4	8.76209E-2	6.07812E+0	1.43174E+0	6.91263E+4	1.62831E+4
-1.29672E+1	2.15930E+4	8.64968E-2	6.07836E+0	1.43168E+0	7.00274E+4	1.64940E+4
-1.29584E+1	2.15960E+4	8.53668E-2	6.07835E+0	1.43163E+0	7.09542E+4	1.67118E+4
-1.29502E+1	2.15950E+4	8.62491E-2	6.07845E+0	1.43158E+0	7.02296E+4	1.65403E+4
-1.29419E+1	2.15970E+4	8.68344E-2	6.07858E+0	1.43161E+0	6.97578E+4	1.64291E+4
-1.29335E+1	2.15920E+4	8.82393E-2	6.07877E+0	1.43158E+0	6.86492E+4	1.61672E+4
-1.29247E+1	2.15950E+4	8.65010E-2	6.07861E+0	1.43140E+0	7.00268E+4	1.64900E+4
-1.29164E+1	2.15920E+4	8.67519E-2	6.07877E+0	1.43129E+0	6.98262E+4	1.64411E+4
-1.29081E+1	2.15960E+4	8.64984E-2	6.07905E+0	1.43141E+0	7.00340E+4	1.64907E+4
-1.28994E+1	2.15900E+4	8.49664E-2	6.07873E+0	1.43126E+0	7.12930E+4	1.67862E+4
-1.28911E+1	2.15910E+4	8.48565E-2	6.07906E+0	1.43126E+0	7.13892E+4	1.68079E+4
-1.28828E+1	2.15920E+4	8.51995E-2	6.07937E+0	1.43128E+0	7.11055E+4	1.67406E+4
-1.28741E+1	2.15890E+4	8.62403E-2	6.07927E+0	1.43116E+0	7.02463E+4	1.65371E+4
-1.28658E+1	2.15940E+4	8.50749E-2	6.07940E+0	1.43115E+0	7.12100E+4	1.67635E+4
-1.28575E+1	2.15940E+4	8.65285E-2	6.07935E+0	1.43110E+0	7.00131E+4	1.64813E+4
-1.28487E+1	2.15900E+4	8.56491E-2	6.07942E+0	1.43103E+0	7.07328E+4	1.66498E+4
-1.28400E+1	2.15890E+4	8.56282E-2	6.07972E+0	1.43102E+0	7.07536E+4	1.66537E+4
-1.28318E+1	2.15910E+4	8.55240E-2	6.08006E+0	1.43096E+0	7.08438E+4	1.66733E+4
-1.28234E+1	2.15890E+4	8.50989E-2	6.07980E+0	1.43096E+0	7.11946E+4	1.67566E+4
-1.28150E+1	2.15910E+4	8.41874E-2	6.07978E+0	1.43085E+0	7.19652E+4	1.69367E+4
-1.28062E+1	2.15870E+4	8.52940E-2	6.08001E+0	1.43080E+0	7.10342E+4	1.67164E+4
-1.27980E+1	2.15910E+4	8.48769E-2	6.08025E+0	1.43082E+0	7.13860E+4	1.67987E+4
-1.27898E+1	2.15890E+4	8.46570E-2	6.08032E+0	1.43074E+0	7.15723E+4	1.68414E+4
-1.27810E+1	2.15870E+4	8.46870E-2	6.08013E+0	1.43059E+0	7.15447E+4	1.68337E+4
-1.27727E+1	2.15870E+4	8.51467E-2	6.08048E+0	1.43066E+0	7.11626E+4	1.67437E+4
-1.27644E+1	2.15860E+4	8.45532E-2	6.08077E+0	1.43067E+0	7.16655E+4	1.68614E+4
-1.27558E+1	2.15890E+4	8.38766E-2	6.08069E+0	1.43062E+0	7.22427E+4	1.69968E+4
-1.27474E+1	2.15870E+4	8.50191E-2	6.08103E+0	1.43066E+0	7.12758E+4	1.67687E+4
-1.27391E+1	2.15900E+4	8.43699E-2	6.08083E+0	1.43037E+0	7.18219E+4	1.68944E+4
-1.27303E+1	2.15850E+4	8.34348E-2	6.08123E+0	1.43045E+0	7.26316E+4	1.70846E+4
-1.27220E+1	2.15850E+4	8.35201E-2	6.08143E+0	1.43047E+0	7.25598E+4	1.70675E+4
-1.27139E+1	2.15860E+4	8.40910E-2	6.08124E+0	1.43033E+0	7.20649E+4	1.69499E+4
-1.27055E+1	2.15830E+4	8.38279E-2	6.08136E+0	1.43030E+0	7.22926E+4	1.70028E+4
-1.26967E+1	2.15850E+4	8.44807E-2	6.08172E+0	1.43023E+0	7.17382E+4	1.68706E+4
-1.26884E+1	2.15870E+4	8.55675E-2	6.08134E+0	1.43008E+0	7.08226E+4	1.66545E+4
-1.26801E+1	2.15830E+4	8.35920E-2	6.08166E+0	1.43012E+0	7.25002E+4	1.70486E+4
-1.26714E+1	2.15830E+4	8.29757E-2	6.08203E+0	1.43021E+0	7.30431E+4	1.71763E+4
-1.26632E+1	2.15840E+4	8.39109E-2	6.08197E+0	1.43006E+0	7.22283E+4	1.69831E+4
-1.26548E+1	2.15830E+4	8.24055E-2	6.08200E+0	1.42996E+0	7.35482E+4	1.72922E+4
-1.26460E+1	2.15820E+4	8.12540E-2	6.08221E+0	1.43000E+0	7.45930E+4	1.75377E+4
-1.26377E+1	2.15770E+4	8.11349E-2	6.08214E+0	1.42991E+0	7.47017E+4	1.75624E+4
-1.26295E+1	2.15830E+4	8.13110E-2	6.08232E+0	1.42991E+0	7.45421E+4	1.75243E+4
-1.26212E+1	2.15820E+4	8.34749E-2	6.08241E+0	1.42982E+0	7.26109E+4	1.70690E+4
-1.26124E+1	2.15820E+4	8.34058E-2	6.08266E+0	1.42990E+0	7.26740E+4	1.70840E+4
-1.26040E+1	2.15800E+4	8.10192E-2	6.08259E+0	1.42976E+0	7.48139E+4	1.75856E+4
-1.25954E+1	2.15800E+4	8.07695E-2	6.08251E+0	1.42960E+0	7.50442E+4	1.76380E+4
-1.25870E+1	2.15810E+4	8.38217E-2	6.08292E+0	1.42967E+0	7.23165E+4	1.69965E+4
-1.25787E+1	2.15810E+4	8.25429E-2	6.08294E+0	1.42959E+0	7.34371E+4	1.72589E+4
-1.25704E+1	2.15780E+4	8.22209E-2	6.08325E+0	1.42955E+0	7.37284E+4	1.73260E+4
-1.25618E+1	2.15810E+4	8.17248E-2	6.08356E+0	1.42956E+0	7.41798E+4	1.74313E+4
-1.25533E+1	2.15810E+4	8.30740E-2	6.08331E+0	1.42939E+0	7.29720E+4	1.71461E+4
-1.25449E+1	2.15750E+4	8.13634E-2	6.08339E+0	1.42943E+0	7.45073E+4	1.75072E+4
-1.25363E+1	2.15790E+4	8.33898E-2	6.08352E+0	1.42937E+0	7.26983E+4	1.70810E+4
-1.25280E+1	2.15780E+4	8.30443E-2	6.08353E+0	1.42929E+0	7.30008E+4	1.71511E+4
-1.25196E+1	2.15790E+4	8.27297E-2	6.08353E+0	1.42917E+0	7.32784E+4	1.72149E+4
-1.25110E+1	2.15760E+4	8.01530E-2	6.08382E+0	1.42918E+0	7.56378E+4	1.77684E+4
-1.25026E+1	2.15790E+4	8.10324E-2	6.08410E+0	1.42923E+0	7.48202E+4	1.75762E+4
-1.24944E+1	2.15750E+4	8.09308E-2	6.08390E+0	1.42900E+0	7.49118E+4	1.75955E+4
-1.24857E+1	2.15750E+4	8.17250E-2	6.08416E+0	1.42911E+0	7.41870E+4	1.74257E+4
-1.24774E+1	2.15730E+4	8.15039E-2	6.08418E+0	1.42891E+0	7.43884E+4	1.74707E+4
-1.24689E+1	2.15780E+4	8.10012E-2	6.08441E+0	1.42890E+0	7.48529E+4	1.75789E+4
-1.24606E+1	2.15740E+4	8.04371E-2	6.08452E+0	1.42892E+0	7.53792E+4	1.77024E+4
-1.24520E+1	2.15770E+4	8.07502E-2	6.08458E+0	1.42890E+0	7.50877E+4	1.76336E+4
-1.24437E+1	2.15760E+4	8.11919E-2	6.08461E+0	1.42872E+0	7.46795E+4	1.75355E+4
-1.24354E+1	2.15750E+4	8.02449E-2	6.08476E+0	1.42872E+0	7.55627E+4	1.77424E+4
-1.24271E+1	2.15750E+4	8.17695E-2	6.08468E+0	1.42868E+0	7.41529E+4	1.74111E+4
-1.24185E+1	2.15750E+4	8.15346E-2	6.08517E+0	1.42875E+0	7.43724E+4	1.74621E+4
-1.24101E+1	2.15730E+4	7.96325E-2	6.08511E+0	1.42861E+0	7.61481E+4	1.78774E+4
-1.24018E+1	2.15750E+4	8.09462E-2	6.08530E+0	1.42861E+0	7.49147E+4	1.75873E+4
-1.23932E+1	2.15700E+4	8.04563E-2	6.08533E+0	1.42852E+0	7.53713E+4	1.76933E+4
-1.23847E+1	2.15700E+4	8.11333E-2	6.08537E+0	1.42846E+0	7.47428E+4	1.75449E+4
-1.23763E+1	2.15740E+4	8.17434E-2	6.08599E+0	1.42852E+0	7.41926E+4	1.74147E+4
-1.23677E+1	2.15720E+4	8.15775E-2	6.08564E+0	1.42840E+0	7.43391E+4	1.74486E+4
-1.23594E+1	2.15700E+4	8.01262E-2	6.08543E+0	1.42830E+0	7.56830E+4	1.77634E+4
-1.23511E+1	2.15710E+4	8.03173E-2	6.08568E+0	1.42810E+0	7.55060E+4	1.77187E+4
-1.23428E+1	2.15690E+4	7.96186E-2	6.08600E+0	1.42830E+0	7.61726E+4	1.78767E+4
-1.23342E+1	2.15710E+4	8.07931E-2	6.08604E+0	1.42817E+0	7.50658E+4	1.76152E+4
-1.23258E+1	2.15670E+4	8.03237E-2	6.08634E+0	1.42813E+0	7.55083E+4	1.77177E+4
-1.23176E+1	2.15710E+4	7.95852E-2	6.08643E+0	1.42816E+0	7.62100E+4	1.78824E+4
-1.23092E+1	2.15690E+4	7.89201E-2	6.08639E+0	1.42806E+0	7.68518E+4	1.80318E+4
-1.23006E+1	2.15680E+4	7.96885E-2	6.08663E+0	1.42803E+0	7.61137E+4	1.78576E+4
-1.22922E+1	2.15660E+4	7.88003E-2	6.08677E+0	1.42802E+0	7.69734E+4	1.80588E+4
-1.22833E+1	2.15660E+4	7.82753E-2	6.08656E+0	1.42785E+0	7.74870E+4	1.81778E+4
-1.22751E+1	2.15680E+4	7.92420E-2	6.08705E+0	1.42792E+0	7.65479E+4	1.79568E+4
-1.22667E+1	2.15670E+4	8.01422E-2	6.08695E+0	1.42777E+0	7.56869E+4	1.77533E+4
-1.22581E+1	2.15640E+4	7.81361E-2	6.08715E+0	1.42783E+0	7.76326E+4	1.82099E+4
-1.22497E+1	2.15680E+4	7.89651E-2	6.08723E+0	1.42781E+0	7.68186E+4	1.80184E+4
-1.22414E+1	2.15670E+4	7.88046E-2	6.08746E+0	1.42771E+0	7.69779E+4	1.80538E+4
-1.22331E+1	2.15640E+4	7.83573E-2	6.08731E+0	1.42762E+0	7.74155E+4	1.81557E+4
-1.22244E+1	2.15640E+4	7.78006E-2	6.08752E+0	1.42755E+0	7.79721E+4	1.82848E+4
-1.22161E+1	2.15650E+4	7.83530E-2	6.08748E+0	1.42753E+0	7.74218E+4	1.81556E+4
-1.22076E+1	2.15640E+4	7.80825E-2	6.08789E+0	1.42750E+0	7.76953E+4	1.82181E+4
-1.21991E+1	2.15630E+4	7.79601E-2	6.08775E+0	1.42739E+0	7.78155E+4	1.82453E+4
-1.21907E+1	2.15640E+4	7.90175E-2	6.08784E+0	1.42722E+0	7.67752E+4	1.79990E+4
-1.21824E+1	2.15640E+4	7.86590E-2	6.08824E+0	1.42734E+0	7.71303E+4	1.80826E+4
-1.21737E+1	2.15620E+4	7.75031E-2	6.08827E+0	1.42732E+0	7.82810E+4	1.83520E+4
-1.21653E+1	2.15610E+4	7.79791E-2	6.08812E+0	1.42710E+0	7.78013E+4	1.82372E+4
-1.21571E+1	2.15600E+4	7.91311E-2	6.08793E+0	1.42702E+0	7.66662E+4	1.79707E+4
-1.21484E+1	2.15610E+4	7.70590E-2	6.08830E+0	1.42709E+0	7.87325E+4	1.84548E+4
-1.21401E+1	2.15600E+4	7.63520E-2	6.08868E+0	1.42706E+0	7.94665E+4	1.86253E+4
-1.21318E+1	2.15590E+4	7.64160E-2	6.08879E+0	1.42705E+0	7.94014E+4	1.86096E+4
-1.21234E+1	2.15600E+4	7.77461E-2	6.08882E+0	1.42699E+0	7.80434E+4	1.82905E+4
-1.21147E+1	2.15600E+4	7.69884E-2	6.08890E+0	1.42687E+0	7.88125E+4	1.84690E+4
-1.21065E+1	2.15600E+4	7.61934E-2	6.08891E+0	1.42678E+0	7.96351E+4	1.86605E+4
-1.20982E+1	2.15620E+4	7.81831E-2	6.08908E+0	1.42679E+0	7.76105E+4	1.81857E+4
-1.20898E+1	2.15580E+4	7.60048E-2	6.08897E+0	1.42671E+0	7.98333E+4	1.87058E+4
-1.20812E+1	2.15580E+4	7.79117E-2	6.08918E+0	1.42674E+0	7.78822E+4	1.82483E+4
-1.20728E+1	2.15580E+4	7.70494E-2	6.08943E+0	1.42663E+0	7.87570E+4	1.84512E+4
-1.20645E+1	2.15570E+4	7.77890E-2	6.08959E+0	1.42659E+0	7.80103E+4	1.82753E+4
-1.20559E+1	2.15570E+4	7.79484E-2	6.08952E+0	1.42656E+0	7.78498E+4	1.82374E+4
-1.20476E+1	2.15550E+4	7.77431E-2	6.08972E+0	1.42651E+0	7.80579E+4	1.82849E+4
-1.20392E+1	2.15570E+4	7.68151E-2	6.08970E+0	1.42639E+0	7.90007E+4	1.85043E+4
-1.20305E+1	2.15550E+4	7.70137E-2	6.08974E+0	1.42637E+0	7.87975E+4	1.84564E+4
-1.20221E+1	2.15550E+4	7.77939E-2	6.09010E+0	1.42629E+0	7.80119E+4	1.82702E+4
-1.20139E+1	2.15550E+4	7.64421E-2	6.08993E+0	1.42623E+0	7.93891E+4	1.85926E+4
-1.20055E+1	2.15550E+4	7.56690E-2	6.09009E+0	1.42619E+0	8.02024E+4	1.87820E+4
